1 40 40 40 178
2 40 79 81 182
3 40 117 82 182
4 40 154 109 204
5 40 190 125 209
6 40 225 128 215
7 40 259 131 217
8 40 292 141 215
9 40 324 172 219
10 40 355 171 228
11 40 385 180 223
12 40 414 184 232
13 40 442 188 242
14 40 469 194 240
15 40 495 194 246
16 40 520 210 253
17 40 544 216 261
18 40 567 230 250
19 40 589 238 261
20 40 610 245 273
21 40 630 253 274
22 40 649 258 283
23 40 667 265 278
24 40 684 272 289
25 40 700 272 288
26 40 715 281 302
27 40 729 283 297
28 40 742 291 308
29 40 754 291 306
30 40 765 298 314
31 40 775 304 323
32 40 784 314 324
33 40 792 323 329
34 40 799 327 334
35 40 805 338 342
36 40 810 335 338
37 40 814 350 351
38 40 817 357 363
39 40 819 367 365
40 40 820 377 372
