1 60 60 60 327
2 60 119 121 325
3 60 177 122 320
4 60 234 142 334
5 60 290 187 321
6 60 345 190 334
7 60 399 190 349
8 60 452 207 354
9 60 504 240 351
10 60 555 251 350
11 60 605 263 368
12 60 654 266 370
13 60 702 272 376
14 60 749 274 380
15 60 795 279 381
16 60 840 296 392
17 60 884 305 392
18 60 927 302 393
19 60 969 320 392
20 60 1010 333 410
21 60 1050 351 395
22 60 1089 363 421
23 60 1127 368 428
24 60 1164 369 421
25 60 1200 376 427
26 60 1235 379 430
27 60 1269 391 444
28 60 1302 392 445
29 60 1334 397 455
30 60 1365 405 450
31 60 1395 407 459
32 60 1424 417 470
33 60 1452 427 468
34 60 1479 439 470
35 60 1505 449 479
36 60 1530 452 483
37 60 1554 461 494
38 60 1577 466 497
39 60 1599 476 498
40 60 1620 487 514
41 60 1640 495 511
42 60 1659 492 519
43 60 1677 503 520
44 60 1694 523 536
45 60 1710 521 531
46 60 1725 531 538
47 60 1739 539 546
48 60 1752 541 556
49 60 1764 558 564
50 60 1775 554 565
51 60 1785 563 572
52 60 1794 568 574
53 60 1802 575 590
54 60 1809 581 581
55 60 1815 590 602
56 60 1820 593 598
57 60 1824 595 609
58 60 1827 610 615
59 60 1829 602 614
60 60 1830 619 628
